Shipping Key,Ship Mode,Shipping Cost
304852,Standard Class,64.62
304853,Second Class,64.62
304854,Same Day,64.59
304855,Standard Class,64.57
304856,Standard Class,64.56
304857,Standard Class,64.54
304858,Second Class,64.54
304859,Standard Class,64.53
304860,First Class,64.53
304861,Second Class,64.52
304862,Standard Class,64.5
304863,Standard Class,64.48
304864,Standard Class,64.46
304865,Second Class,64.46
304866,Second Class,64.43
304867,Standard Class,64.42
304868,Standard Class,64.4
304869,Standard Class,64.39
304870,Standard Class,64.37
304871,Second Class,64.36
304872,Standard Class,64.35
304873,Second Class,64.33
304874,Second Class,64.32
304875,Standard Class,64.31
304876,Standard Class,64.29
304877,First Class,64.26
304878,Same Day,64.25
304879,Standard Class,64.22
304880,Second Class,64.21
304881,Standard Class,64.15
304882,Same Day,64.12
304883,Standard Class,64.1
304884,First Class,64.1
304885,First Class,64.09
304886,Standard Class,64.08
304887,Standard Class,64.06
304888,Same Day,64.03
304889,Standard Class,64.03
304890,Second Class,64.03
304891,Standard Class,64.01
304892,Standard Class,64.0
304893,First Class,64.0
304894,Second Class,63.99
304895,Second Class,63.98
304896,Standard Class,63.98
304897,Second Class,63.95
304898,Same Day,63.94
304899,Same Day,63.9
304900,Standard Class,63.89
304901,Second Class,63.87
304902,First Class,63.87
304903,Standard Class,63.86
304904,First Class,63.86
304905,Standard Class,63.85
304906,First Class,63.85
304907,First Class,63.84
304908,Standard Class,63.84
304909,Same Day,63.82
304910,First Class,63.82
304911,Standard Class,63.81
304912,Standard Class,63.77
304913,Second Class,63.77
304914,Standard Class,63.76
304915,Standard Class,63.74
304916,Standard Class,63.73
304917,Standard Class,63.7
304918,Second Class,63.69
304919,Standard Class,63.68
304920,Second Class,63.68
304921,Second Class,63.67
304922,Standard Class,63.67
304923,Standard Class,63.66
304924,First Class,63.65
304925,Standard Class,63.65
304926,Standard Class,63.6
304927,Standard Class,63.59
304928,Standard Class,63.58
304929,Second Class,63.55
304930,Standard Class,63.52
304931,Standard Class,63.51
304932,Same Day,63.48
304933,Same Day,63.47
304934,Standard Class,63.46
304935,Standard Class,63.45
304936,First Class,63.45
304937,Second Class,63.44
304938,Second Class,63.42
304939,First Class,63.4
304940,Second Class,63.4
304941,First Class,63.39
304942,Second Class,63.36
304943,Standard Class,63.35
304944,Second Class,63.34
304945,Same Day,63.33
304946,Standard Class,63.32
304947,Second Class,63.32
304948,Second Class,63.31
304949,Same Day,63.29
304950,Second Class,63.29
304951,Standard Class,63.28
304952,Standard Class,63.25
304953,Standard Class,63.24
304954,Standard Class,63.22
304955,First Class,63.21
304956,Standard Class,63.2
304957,First Class,63.19
304958,Second Class,63.18
304959,First Class,63.18
304960,Standard Class,63.17
304961,Second Class,63.16
304962,Standard Class,63.16
304963,Standard Class,63.15
304964,Same Day,63.14
304965,Standard Class,63.11
304966,First Class,63.1
304967,Standard Class,63.08
304968,Same Day,63.07
304969,Same Day,63.05
304970,Standard Class,63.05
304971,First Class,63.05
304972,Second Class,63.01
304973,First Class,63.01
304974,First Class,62.99
304975,Standard Class,62.97
304976,First Class,62.96
304977,Standard Class,62.95
304978,Standard Class,62.94
304979,First Class,62.9
304980,Standard Class,62.9
304981,Standard Class,62.88
304982,Standard Class,62.87
304983,Second Class,62.84
304984,Standard Class,62.83
304985,Second Class,62.83
304986,Standard Class,62.82
304987,First Class,62.82
304988,Second Class,62.81
304989,First Class,62.79
304990,Standard Class,62.79
304991,Standard Class,62.78
304992,Standard Class,62.77
304993,Second Class,62.75
304994,Standard Class,62.73
304995,Standard Class,62.71
304996,Standard Class,62.7
304997,Second Class,62.68
304998,Standard Class,62.67
304999,Same Day,62.65
305000,Standard Class,62.65
305001,Standard Class,62.63
305002,Standard Class,62.62
305003,Second Class,62.6
305004,Second Class,62.59
305005,Standard Class,62.59
305006,Standard Class,62.57
305007,Standard Class,62.56
305008,First Class,62.55
305009,First Class,62.54
305010,Same Day,62.5
305011,Second Class,62.44
305012,Standard Class,62.43
305013,First Class,62.43
305014,First Class,62.42
305015,Standard Class,62.41
305016,First Class,62.41
305017,First Class,62.4
305018,Second Class,62.4
305019,Standard Class,62.4
305020,Second Class,62.37
305021,Standard Class,62.37
305022,Same Day,62.34
305023,First Class,62.34
305024,Second Class,62.34
305025,Standard Class,62.32
305026,Standard Class,62.29
305027,Second Class,62.27
305028,First Class,62.27
305029,Standard Class,62.26
305030,Standard Class,62.24
305031,Standard Class,62.21
305032,First Class,62.19
305033,Second Class,62.19
305034,Same Day,62.18
305035,Second Class,62.18
305036,Standard Class,62.17
305037,Standard Class,62.16
305038,First Class,62.15
305039,First Class,62.14
305040,Standard Class,62.13
305041,Second Class,62.11
305042,Standard Class,62.11
305043,Second Class,62.06
305044,Standard Class,62.04
305045,Standard Class,62.01
305046,Second Class,62.0
305047,Standard Class,61.98
305048,Second Class,61.97
305049,Standard Class,61.94
305050,Standard Class,61.93
305051,First Class,61.93
305052,Second Class,61.92
305053,First Class,61.89
305054,Standard Class,61.89
305055,First Class,61.88
305056,Standard Class,61.88
305057,First Class,61.86
305058,Standard Class,61.86
305059,Second Class,61.84
305060,Standard Class,61.84
305061,First Class,61.82
305062,Standard Class,61.81
305063,Standard Class,61.79
305064,First Class,61.79
305065,Standard Class,61.77
305066,Second Class,61.74
305067,Standard Class,61.73
305068,Standard Class,61.72
305069,Second Class,61.7
305070,Standard Class,61.68
305071,First Class,61.68
305072,Second Class,61.64
305073,Standard Class,61.63
305074,Second Class,61.6
305075,Standard Class,61.6
305076,Standard Class,61.59
305077,Second Class,61.58
305078,Standard Class,61.57
305079,Second Class,61.55
305080,Second Class,61.53
305081,Standard Class,61.5
305082,First Class,61.48
305083,Second Class,61.48
305084,Standard Class,61.47
305085,First Class,61.47
305086,Standard Class,61.46
305087,Standard Class,61.45
305088,Standard Class,61.44
305089,Same Day,61.42
305090,Standard Class,61.42
305091,Second Class,61.42
305092,First Class,61.39
305093,Standard Class,61.39
305094,Second Class,61.38
305095,Standard Class,61.36
305096,Standard Class,61.35
305097,Standard Class,61.3
305098,Second Class,61.3
305099,Second Class,61.27
305100,Standard Class,61.25
305101,Standard Class,61.24
305102,Standard Class,61.23
305103,Second Class,61.23
305104,First Class,61.23
305105,Standard Class,61.22
305106,Second Class,61.22
305107,Standard Class,61.21
305108,First Class,61.19
305109,Second Class,61.18
305110,Standard Class,61.16
305111,Second Class,61.15
305112,First Class,61.14
305113,Standard Class,61.14
305114,Second Class,61.11
305115,Standard Class,61.1
305116,First Class,61.09
305117,Standard Class,61.09
305118,Standard Class,61.08
305119,First Class,61.08
305120,Standard Class,61.07
305121,Standard Class,61.06
305122,Standard Class,61.05
305123,First Class,61.04
305124,Second Class,61.03
305125,Second Class,61.02
305126,Second Class,61.01
305127,First Class,61.0
305128,Second Class,61.0
305129,Second Class,60.99
305130,First Class,60.99
305131,Standard Class,60.99
305132,Standard Class,60.97
305133,Second Class,60.96
305134,Standard Class,60.95
305135,Standard Class,60.94
305136,Standard Class,60.93
305137,Standard Class,60.92
305138,First Class,60.91
305139,Standard Class,60.91
305140,First Class,60.9
305141,Second Class,60.89
305142,Second Class,60.87
305143,Standard Class,60.86
305144,Same Day,60.85
305145,Standard Class,60.85
305146,Second Class,60.83
305147,Standard Class,60.83
305148,Same Day,60.82
305149,Second Class,60.82
305150,Standard Class,60.81
305151,Standard Class,60.8
305152,First Class,60.8
305153,Second Class,60.79
305154,First Class,60.79
305155,Second Class,60.78
305156,Standard Class,60.78
305157,Standard Class,60.77
305158,Standard Class,60.76
305159,Second Class,60.76
305160,Standard Class,60.74
305161,Standard Class,60.73
305162,Same Day,60.72
305163,Standard Class,60.7
305164,Standard Class,60.69
305165,Second Class,60.68
305166,Standard Class,60.67
305167,Second Class,60.65
305168,Second Class,60.64
305169,Standard Class,60.64
305170,First Class,60.63
305171,Second Class,60.59
305172,Standard Class,60.59
305173,Second Class,60.58
305174,First Class,60.56
305175,Second Class,60.55
305176,Standard Class,60.54
305177,Standard Class,60.53
305178,First Class,60.52
305179,Second Class,60.51
305180,Second Class,60.5
305181,Standard Class,60.49
305182,Second Class,60.49
305183,Standard Class,60.48
305184,Standard Class,60.46
305185,Same Day,60.45
305186,Standard Class,60.45
305187,Standard Class,60.44
305188,Standard Class,60.43
305189,Second Class,60.4
305190,Second Class,60.35
305191,First Class,60.34
305192,Standard Class,60.33
305193,Second Class,60.32
305194,Standard Class,60.32
305195,Standard Class,60.3
305196,Second Class,60.3
305197,Standard Class,60.29
305198,Same Day,60.29
305199,Standard Class,60.28
305200,First Class,60.27
305201,Standard Class,60.27
305202,Standard Class,60.26
305203,Same Day,60.25
305204,Second Class,60.25
305205,Second Class,60.22
305206,Standard Class,60.2
305207,Standard Class,60.19
305208,First Class,60.18
305209,Standard Class,60.18
305210,Second Class,60.17
305211,Standard Class,60.16
305212,Standard Class,60.15
305213,Second Class,60.12
305214,Standard Class,60.11
305215,Standard Class,60.1
305216,Second Class,60.09
305217,Standard Class,60.09
305218,First Class,60.08
305219,Same Day,60.08
305220,Second Class,60.06
305221,Second Class,60.05
305222,First Class,60.04
305223,Second Class,60.02
305224,Standard Class,59.99
305225,Second Class,59.98
305226,First Class,59.97
305227,Standard Class,59.97
305228,Standard Class,59.96
305229,Second Class,59.94
305230,Standard Class,59.94
305231,Standard Class,59.93
305232,Second Class,59.93
305233,Standard Class,59.92
305234,Standard Class,59.91
305235,Second Class,59.9
305236,Standard Class,59.9
305237,Standard Class,59.88
305238,Same Day,59.88
305239,Second Class,59.87
305240,Standard Class,59.87
305241,Standard Class,59.85
305242,Standard Class,59.84
305243,Standard Class,59.83
305244,Same Day,59.79
305245,Standard Class,59.78
305246,Standard Class,59.77
305247,Second Class,59.77
305248,First Class,59.76
305249,Standard Class,59.74
305250,Standard Class,59.73
305251,Standard Class,59.72
305252,Standard Class,59.71
305253,Second Class,59.71
305254,First Class,59.71
305255,Standard Class,59.7
305256,Standard Class,59.68
305257,Second Class,59.67
305258,First Class,59.67
305259,Standard Class,59.66
305260,First Class,59.65
305261,First Class,59.64
305262,Standard Class,59.64
305263,Standard Class,59.63
305264,Second Class,59.63
305265,Standard Class,59.62
305266,Same Day,59.62
305267,First Class,59.59
305268,Same Day,59.59
305269,Standard Class,59.58
305270,Standard Class,59.57
305271,First Class,59.54
305272,Standard Class,59.51
305273,Second Class,59.5
305274,Standard Class,59.49
305275,Standard Class,59.47
305276,Standard Class,59.45
305277,First Class,59.44
305278,Second Class,59.43
305279,Second Class,59.42
305280,First Class,59.42
305281,Standard Class,59.42
305282,Standard Class,59.41
305283,Second Class,59.41
305284,Standard Class,59.4
305285,Standard Class,59.37
305286,First Class,59.36
305287,Same Day,59.35
305288,Second Class,59.35
305289,Standard Class,59.34
305290,Standard Class,59.33
305291,Standard Class,59.32
305292,Standard Class,59.28
305293,Standard Class,59.26
305294,Standard Class,59.24
305295,Same Day,59.24
305296,Standard Class,59.23
305297,First Class,59.2
305298,Standard Class,59.19
305299,Second Class,59.19
305300,Standard Class,59.17
305301,First Class,59.13
305302,Second Class,59.13
305303,Standard Class,59.12
305304,Standard Class,59.11
305305,Second Class,59.1
305306,First Class,59.08
305307,Second Class,59.05
305308,First Class,59.04
305309,Standard Class,59.03
305310,Second Class,59.01
305311,Standard Class,59.01
305312,Same Day,59.01
305313,Standard Class,58.99
305314,Standard Class,58.96
305315,Standard Class,58.95
305316,First Class,58.93
305317,First Class,58.92
305318,Standard Class,58.91
305319,Same Day,58.9
305320,Standard Class,58.9
305321,Second Class,58.85
305322,Standard Class,58.83
305323,Standard Class,58.82
305324,First Class,58.82
305325,Standard Class,58.79
305326,First Class,58.79
305327,Standard Class,58.78
305328,Second Class,58.77
305329,Standard Class,58.77
305330,Second Class,58.76
305331,First Class,58.76
305332,First Class,58.74
305333,Second Class,58.74
305334,Second Class,58.73
305335,Same Day,58.72
305336,Second Class,58.71
305337,Standard Class,58.71
305338,Second Class,58.7
305339,First Class,58.7
305340,First Class,58.68
305341,Standard Class,58.68
305342,Standard Class,58.67
305343,Second Class,58.67
305344,Second Class,58.65
305345,Standard Class,58.65
305346,Standard Class,58.64
305347,Second Class,58.62
305348,Standard Class,58.61
305349,Standard Class,58.59
305350,Standard Class,58.58
305351,First Class,58.58
305352,Standard Class,58.54
305353,Second Class,58.54
305354,First Class,58.53
305355,Second Class,58.53
305356,Standard Class,58.53
305357,Same Day,58.52
305358,Second Class,58.51
305359,First Class,58.5
305360,Standard Class,58.49
305361,Standard Class,58.48
305362,Standard Class,58.47
305363,First Class,58.46
305364,Standard Class,58.46
305365,First Class,58.45
305366,Second Class,58.45
305367,First Class,58.43
305368,First Class,58.42
305369,Standard Class,58.42
305370,First Class,58.41
305371,Standard Class,58.41
305372,Second Class,58.39
305373,Standard Class,58.37
305374,Standard Class,58.35
305375,Second Class,58.35
305376,Standard Class,58.34
305377,Standard Class,58.33
305378,Second Class,58.32
305379,Standard Class,58.32
305380,Same Day,58.32
305381,First Class,58.28
305382,Standard Class,58.27
305383,Same Day,58.27
305384,First Class,58.27
305385,First Class,58.25
305386,Standard Class,58.25
305387,Second Class,58.24
305388,First Class,58.23
305389,Standard Class,58.22
305390,First Class,58.22
305391,Second Class,58.22
305392,Standard Class,58.21
305393,Second Class,58.2
305394,Standard Class,58.19
305395,First Class,58.15
305396,Second Class,58.15
305397,Standard Class,58.15
305398,Same Day,58.14
305399,Standard Class,58.13
305400,Standard Class,58.12
305401,Standard Class,58.11
305402,Second Class,58.09
305403,Standard Class,58.09
305404,Standard Class,58.07
305405,Standard Class,58.06
305406,Standard Class,58.05
305407,Second Class,58.05
305408,Standard Class,58.04
305409,Second Class,58.03
305410,First Class,58.02
305411,Same Day,58.02
305412,Standard Class,58.0
305413,Standard Class,57.98
305414,First Class,57.98
305415,First Class,57.96
305416,Standard Class,57.96
305417,Second Class,57.95
305418,Standard Class,57.93
305419,Second Class,57.93
305420,First Class,57.92
305421,Standard Class,57.9
305422,First Class,57.89
305423,Standard Class,57.86
305424,First Class,57.85
305425,Standard Class,57.84
305426,Standard Class,57.83
305427,First Class,57.83
305428,Second Class,57.83
305429,Standard Class,57.78
305430,Second Class,57.76
305431,Standard Class,57.76
305432,First Class,57.75
305433,Standard Class,57.75
305434,Second Class,57.74
305435,Standard Class,57.73
305436,Standard Class,57.72
305437,First Class,57.71
305438,Second Class,57.69
305439,Same Day,57.68
305440,Standard Class,57.66
305441,Same Day,57.66
305442,Standard Class,57.65
305443,First Class,57.65
305444,Standard Class,57.61
305445,Second Class,57.58
305446,First Class,57.57
305447,Standard Class,57.57
305448,First Class,57.56
305449,Second Class,57.55
305450,Standard Class,57.54
305451,First Class,57.54
305452,Standard Class,57.51
305453,First Class,57.51
305454,First Class,57.5
305455,First Class,57.49
305456,Standard Class,57.49
305457,Standard Class,57.48
305458,Standard Class,57.45
305459,Standard Class,57.43
305460,Standard Class,57.39
305461,Same Day,57.39
305462,Second Class,57.38
305463,Second Class,57.37
305464,Standard Class,57.37
305465,First Class,57.36
305466,Second Class,57.36
305467,Standard Class,57.34
305468,Second Class,57.34
305469,Standard Class,57.33
305470,First Class,57.32
305471,Second Class,57.32
305472,Standard Class,57.31
305473,Second Class,57.31
305474,Second Class,57.3
305475,Standard Class,57.29
305476,First Class,57.26
305477,First Class,57.25
305478,First Class,57.23
305479,Standard Class,57.21
305480,First Class,57.2
305481,Standard Class,57.18
305482,Second Class,57.18
305483,Standard Class,57.17
305484,First Class,57.17
305485,Second Class,57.12
305486,First Class,57.12
305487,Standard Class,57.12
305488,Standard Class,57.11
305489,Standard Class,57.08
305490,First Class,57.08
305491,Same Day,57.07
305492,Standard Class,57.05
305493,Standard Class,57.04
305494,First Class,57.03
305495,Standard Class,57.03
305496,Standard Class,57.02
305497,Same Day,57.01
305498,Second Class,57.0
305499,Standard Class,57.0
305500,First Class,56.99
305501,Second Class,56.98
305502,Standard Class,56.97
305503,Standard Class,56.94
305504,Standard Class,56.93
305505,Same Day,56.92
305506,Standard Class,56.92
305507,Standard Class,56.9
305508,Same Day,56.9
305509,Second Class,56.89
305510,Second Class,56.87
305511,Standard Class,56.87
305512,Standard Class,56.85
305513,Second Class,56.85
305514,First Class,56.8
305515,Standard Class,56.8
305516,Second Class,56.79
305517,Standard Class,56.78
305518,Same Day,56.77
305519,Standard Class,56.77
305520,First Class,56.76
305521,Standard Class,56.75
305522,First Class,56.73
305523,First Class,56.72
305524,First Class,56.71
305525,Standard Class,56.69
305526,First Class,56.68
305527,Standard Class,56.68
305528,Second Class,56.68
305529,Standard Class,56.66
305530,Same Day,56.66
305531,Same Day,56.65
305532,Standard Class,56.64
305533,Standard Class,56.63
305534,Standard Class,56.62
305535,Second Class,56.61
305536,First Class,56.61
305537,Same Day,56.6
305538,First Class,56.58
305539,First Class,56.57
305540,Standard Class,56.57
305541,Same Day,56.54
305542,Standard Class,56.54
305543,First Class,56.53
305544,Standard Class,56.51
305545,Second Class,56.5
305546,Standard Class,56.5
305547,Second Class,56.49
305548,Standard Class,56.48
305549,Standard Class,56.45
305550,Second Class,56.43
305551,Second Class,56.41
305552,Standard Class,56.4
305553,Standard Class,56.38
305554,Second Class,56.38
305555,First Class,56.35
305556,First Class,56.34
305557,Standard Class,56.33
305558,Standard Class,56.32
305559,Second Class,56.32
305560,Standard Class,56.31
305561,First Class,56.3
305562,Second Class,56.26
305563,First Class,56.26
305564,Standard Class,56.26
305565,Standard Class,56.25
305566,Standard Class,56.24
305567,Standard Class,56.22
305568,First Class,56.19
305569,Standard Class,56.18
305570,Second Class,56.18
305571,Standard Class,56.16
305572,First Class,56.16
305573,Standard Class,56.13
305574,Standard Class,56.12
305575,First Class,56.12
305576,Standard Class,56.1
305577,Second Class,56.09
305578,Standard Class,56.09
305579,Second Class,56.08
305580,Standard Class,56.06
305581,Second Class,56.05
305582,Standard Class,56.04
305583,Second Class,56.03
305584,Second Class,56.01
305585,Standard Class,56.01
305586,Standard Class,55.99
305587,Standard Class,55.98
305588,Second Class,55.96
305589,Standard Class,55.92
305590,First Class,55.9
305591,Standard Class,55.89
305592,First Class,55.88
305593,Standard Class,55.88
305594,Second Class,55.87
305595,Standard Class,55.85
305596,Same Day,55.83
305597,Standard Class,55.82
305598,Standard Class,55.81
305599,Second Class,55.81
305600,First Class,55.8
305601,Standard Class,55.78
305602,First Class,55.78
305603,Standard Class,55.77
305604,First Class,55.76
305605,Second Class,55.76
305606,First Class,55.74
305607,Standard Class,55.74
305608,Second Class,55.72
305609,First Class,55.7
305610,Second Class,55.67
305611,First Class,55.67
305612,Second Class,55.66
305613,Standard Class,55.65
305614,Standard Class,55.63
305615,First Class,55.62
305616,Standard Class,55.62
305617,Same Day,55.6
305618,Second Class,55.59
305619,Same Day,55.59
305620,Standard Class,55.58
305621,Standard Class,55.57
305622,First Class,55.57
305623,Standard Class,55.56
305624,Standard Class,55.54
305625,First Class,55.53
305626,Standard Class,55.52
305627,Second Class,55.49
305628,First Class,55.48
305629,Standard Class,55.48
305630,Second Class,55.48
305631,Second Class,55.45
305632,Standard Class,55.43
305633,Standard Class,55.42
305634,First Class,55.42
305635,First Class,55.4
305636,Standard Class,55.4
305637,Second Class,55.39
305638,Standard Class,55.37
305639,Standard Class,55.35
305640,Standard Class,55.34
305641,First Class,55.34
305642,Second Class,55.34
305643,First Class,55.31
305644,First Class,55.3
305645,Standard Class,55.28
305646,Second Class,55.27
305647,First Class,55.26
305648,First Class,55.25
305649,Second Class,55.23
305650,Standard Class,55.23
305651,Second Class,55.22
305652,Standard Class,55.2
305653,Second Class,55.2
305654,Standard Class,55.19
305655,Second Class,55.19
305656,Standard Class,55.17
305657,Standard Class,55.16
305658,First Class,55.15
305659,Standard Class,55.15
305660,Standard Class,55.14
305661,Second Class,55.14
305662,Standard Class,55.12
305663,Second Class,55.12
305664,Standard Class,55.11
305665,Standard Class,55.09
305666,First Class,55.09
305667,Second Class,55.07
305668,Same Day,55.07
305669,Standard Class,55.07
305670,Standard Class,55.05
305671,Standard Class,55.03
305672,Second Class,55.03
305673,First Class,55.03
305674,Same Day,55.02
305675,First Class,55.02
305676,Second Class,55.02
305677,Second Class,55.01
305678,Second Class,54.99
305679,Standard Class,54.99
305680,First Class,54.97
305681,Standard Class,54.96
305682,Standard Class,54.94
305683,Second Class,54.93
305684,Standard Class,54.93
305685,Standard Class,54.92
305686,Standard Class,54.91
305687,Standard Class,54.9
305688,Standard Class,54.89
305689,Standard Class,54.88
305690,Same Day,54.88
305691,Second Class,54.87
305692,Standard Class,54.86
305693,Standard Class,54.85
305694,Second Class,54.85
305695,Standard Class,54.83
305696,Second Class,54.82
305697,First Class,54.81
305698,Second Class,54.8
305699,Second Class,54.79
305700,Standard Class,54.79
305701,Second Class,54.77
305702,Standard Class,54.76
305703,Second Class,54.74
305704,Second Class,54.73
305705,Standard Class,54.73
305706,Same Day,54.72
305707,Standard Class,54.7
305708,Standard Class,54.69
305709,First Class,54.69
305710,Standard Class,54.68
305711,Second Class,54.67
305712,First Class,54.67
305713,Standard Class,54.67
305714,Standard Class,54.65
305715,First Class,54.64
305716,Standard Class,54.64
305717,Standard Class,54.63
305718,First Class,54.61
305719,Second Class,54.61
305720,Standard Class,54.61
305721,Second Class,54.58
305722,Standard Class,54.58
305723,Second Class,54.57
305724,First Class,54.57
305725,Standard Class,54.57
305726,Second Class,54.56
305727,Standard Class,54.55
305728,Standard Class,54.54
305729,Standard Class,54.53
305730,Second Class,54.52
305731,First Class,54.52
305732,First Class,54.51
305733,Standard Class,54.5
305734,Second Class,54.49
305735,Standard Class,54.48
305736,First Class,54.45
305737,Standard Class,54.44
305738,First Class,54.42
305739,Standard Class,54.42
305740,Standard Class,54.41
305741,First Class,54.4
305742,First Class,54.39
305743,Standard Class,54.38
305744,Standard Class,54.37
305745,Standard Class,54.36
305746,First Class,54.36
305747,Standard Class,54.35
305748,Same Day,54.34
305749,First Class,54.34
305750,Standard Class,54.34
305751,Standard Class,54.33
305752,Second Class,54.31
305753,Second Class,54.29
305754,Standard Class,54.27
305755,Standard Class,54.26
305756,Standard Class,54.25
305757,First Class,54.24
305758,Standard Class,54.23
305759,Second Class,54.23
305760,Standard Class,54.22
305761,Second Class,54.22
305762,Standard Class,54.21
305763,First Class,54.19
305764,Same Day,54.18
305765,Standard Class,54.17
305766,First Class,54.17
305767,Standard Class,54.15
305768,First Class,54.15
305769,Second Class,54.15
305770,Same Day,54.13
305771,Standard Class,54.13
305772,First Class,54.13
305773,Standard Class,54.12
305774,Standard Class,54.1
305775,Second Class,54.1
305776,Standard Class,54.09
305777,First Class,54.08
305778,Standard Class,54.07
305779,Second Class,54.06
305780,Standard Class,54.05
305781,Second Class,54.05
305782,Standard Class,54.04
305783,Standard Class,54.03
305784,First Class,54.02
305785,Second Class,54.02
305786,Second Class,54.01
305787,Standard Class,54.0
305788,Standard Class,53.99
305789,Same Day,53.98
305790,Second Class,53.96
305791,Standard Class,53.95
305792,First Class,53.94
305793,Standard Class,53.94
305794,Standard Class,53.93
305795,Standard Class,53.92
305796,Standard Class,53.91
305797,First Class,53.91
305798,Same Day,53.9
305799,Standard Class,53.89
305800,Standard Class,53.88
305801,Standard Class,53.87
305802,First Class,53.87
305803,Standard Class,53.84
305804,Standard Class,53.83
305805,First Class,53.81
305806,Standard Class,53.81
305807,Standard Class,53.8
305808,Standard Class,53.79
305809,First Class,53.79
305810,Standard Class,53.78
305811,Second Class,53.78
305812,Standard Class,53.77
305813,Second Class,53.76
305814,Standard Class,53.75
305815,First Class,53.74
305816,Standard Class,53.74
305817,Second Class,53.73
305818,Same Day,53.73
305819,Standard Class,53.73
305820,Standard Class,53.69
305821,Standard Class,53.68
305822,First Class,53.66
305823,First Class,53.65
305824,First Class,53.64
305825,Standard Class,53.64
305826,Same Day,53.63
305827,Standard Class,53.6
305828,First Class,53.6
305829,Second Class,53.58
305830,Second Class,53.56
305831,Standard Class,53.55
305832,Second Class,53.55
305833,Standard Class,53.54
305834,First Class,53.54
305835,Second Class,53.54
305836,First Class,53.53
305837,Standard Class,53.53
305838,Same Day,53.53
305839,Standard Class,53.51
305840,Standard Class,53.46
305841,Standard Class,53.45
305842,First Class,53.45
305843,First Class,53.44
305844,Standard Class,53.44
305845,Standard Class,53.43
305846,First Class,53.42
305847,Standard Class,53.42
305848,Second Class,53.42
305849,Standard Class,53.41
305850,Second Class,53.41
305851,Standard Class,53.4
305852,Standard Class,53.37
305853,Standard Class,53.36
305854,Second Class,53.36
305855,Standard Class,53.35
305856,First Class,53.34
305857,Standard Class,53.34
305858,Second Class,53.32
305859,Standard Class,53.32
305860,First Class,53.32
305861,Standard Class,53.3
305862,Second Class,53.29
305863,Standard Class,53.29
305864,Standard Class,53.28
305865,Standard Class,53.27
305866,Standard Class,53.24
305867,Same Day,53.24
305868,Standard Class,53.23
305869,Standard Class,53.21
305870,First Class,53.2
305871,Standard Class,53.2
305872,First Class,53.18
305873,Standard Class,53.17
305874,Second Class,53.16
305875,Standard Class,53.16
305876,Same Day,53.16
305877,Standard Class,53.15
305878,Standard Class,53.14
305879,Same Day,53.14
305880,Standard Class,53.12
305881,Same Day,53.11
305882,Second Class,53.08
305883,Second Class,53.07
305884,Standard Class,53.05
305885,Standard Class,53.04
305886,Standard Class,53.03
305887,Standard Class,53.02
305888,Standard Class,53.01
305889,Second Class,53.01
305890,First Class,53.01
305891,Standard Class,53.0
305892,Second Class,52.99
305893,Standard Class,52.98
305894,Standard Class,52.97
305895,Same Day,52.97
305896,Standard Class,52.96
305897,Second Class,52.96
305898,First Class,52.95
305899,Standard Class,52.95
305900,Standard Class,52.93
305901,Second Class,52.92
305902,Same Day,52.91
305903,Standard Class,52.9
305904,First Class,52.89
305905,Second Class,52.88
305906,Standard Class,52.88
305907,Standard Class,52.87
305908,Standard Class,52.86
305909,Standard Class,52.85
305910,Second Class,52.85
305911,Standard Class,52.84
305912,Second Class,52.84
305913,First Class,52.84
305914,Second Class,52.83
305915,Standard Class,52.83
305916,Standard Class,52.82
305917,Second Class,52.81
305918,First Class,52.81
305919,Standard Class,52.81
305920,Standard Class,52.8
305921,Same Day,52.79
305922,Standard Class,52.78
305923,First Class,52.76
305924,Same Day,52.76
305925,Standard Class,52.75
305926,Standard Class,52.72
305927,First Class,52.69
305928,Second Class,52.69
305929,Standard Class,52.68
305930,First Class,52.68
305931,Second Class,52.67
305932,Standard Class,52.66
305933,Standard Class,52.65
305934,Second Class,52.64
305935,Standard Class,52.63
305936,Second Class,52.62
305937,First Class,52.62
305938,First Class,52.61
305939,Standard Class,52.61
305940,Standard Class,52.6
305941,Standard Class,52.58
305942,Standard Class,52.57
305943,First Class,52.56
305944,Standard Class,52.56
305945,Standard Class,52.54
305946,Same Day,52.54
305947,Standard Class,52.53
305948,Standard Class,52.52
305949,Standard Class,52.51
305950,Same Day,52.51
305951,Second Class,52.51
305952,Standard Class,52.5
305953,First Class,52.5
305954,Second Class,52.49
305955,Standard Class,52.47
305956,Standard Class,52.46
305957,First Class,52.46
305958,Standard Class,52.45
305959,Second Class,52.44
305960,Standard Class,52.44
305961,Same Day,52.44
305962,First Class,52.43
305963,Second Class,52.42
305964,First Class,52.41
305965,Standard Class,52.4
305966,Standard Class,52.38
305967,Standard Class,52.37
305968,Second Class,52.36
305969,First Class,52.34
305970,Same Day,52.33
305971,Standard Class,52.32
305972,Second Class,52.32
305973,Standard Class,52.31
305974,Second Class,52.31
305975,Same Day,52.31
305976,Standard Class,52.3
305977,First Class,52.28
305978,Standard Class,52.27
305979,Second Class,52.27
305980,Standard Class,52.26
305981,First Class,52.26
305982,Same Day,52.26
305983,Second Class,52.26
305984,First Class,52.25
305985,Standard Class,52.25
305986,Second Class,52.24
305987,First Class,52.24
305988,Standard Class,52.22
305989,Same Day,52.22
